count1,count8,pici1,count3,school_name,pici7,pici8,school_id,pici3,pici4,count2,count4,count5,count7,pici2,price,count6,pici6,pici5
,,,,,,,,,,,,,,,,,,
11,,[国家专项计划本科批],22,北京体育大学&nbsp,,,0001&nbsp,[提前批体育本科],[提前批艺术本科A段],36,13,,,[提前批普通本科],750&nbsp,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
count4,pici8,pici5,count6,count7,count2,pici3,pici2,pici1,count1,pici6,pici7,school_id,pici4,price,count8,count3,school_name,count5
,,,,,,,,,,,,,,,,,,
13,,,,,36,[提前批体育本科],[提前批普通本科],[国家专项计划本科批],11,,,0001&nbsp,[提前批艺术本科A段],750&nbsp,,22,北京体育大学&nbsp,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,4,[提前批艺术本科A段],[提前批体育本科],[本科二批],12,,,0005&nbsp,,750&nbsp,,1,首都体育学院&nbsp,
,,,,,21,,[提前批体育本科],[本科二批],17,,,0006&nbsp,,1200&nbsp,,,天津体育学院&nbsp,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,13,,[提前批体育本科],[本科二批],26,,,0009&nbsp,,1200&nbsp,,,沈阳体育学院&nbsp,
,,,,,27,,[提前批体育本科],[高职高专批],80,,,0010&nbsp,,500&nbsp,,,吉林体育学院&nbsp,
,,,,,,,,,,,,,,,,,,
,,,,,20,,[提前批体育本科],[本科二批],26,,,0012&nbsp,,800&nbsp,,,哈尔滨体育学院&nbsp,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,14,[提前批艺术本科A段],[提前批体育本科],[本科二批],47,,,0015&nbsp,,1200&nbsp,,15,上海体育学院&nbsp,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,[提前批体育本科],10,,,0018&nbsp,,800&nbsp,,,山东体育学院&nbsp,
,,,,,34,[提前批艺术本科A段],[提前批体育本科],[本科二批],29,,,0019&nbsp,,1200&nbsp,,35,武汉体育学院&nbsp,
,,,,,,,,,,,,,,,,,,
,,,,,1,[提前批艺术本科A段],[提前批体育本科],[本科二批],5,,,0021&nbsp,,1500&nbsp,,22,广州体育学院&nbsp,
,,,,,,,,,,,,,,,,,,
,,,,,8,,[提前批体育本科],[本科二批],44,,,0023&nbsp,,500&nbsp,,,成都体育学院&nbsp,
,,,,,,,,,,,,,,,,,,
,,,,,27,,[提前批艺术本科A段],[提前批体育本科],6,,,0025&nbsp,,1200&nbsp,,,西安体育学院&nbsp,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
